,budget,production_company,popularity,revenue,vote_average,vote_count,title,genre
1063,0.09210526315789473,0.013719512195121951,0.029848373704141614,0.026742843856853507,0.6599999999999999,0.05388307155322862,From Hell,15
1065,0.11842105263157894,0.03353658536585366,0.012256513402830134,0.019316808611097216,0.5900000000000001,0.010907504363001745,Tin Cup,8
1066,0.0,0.15548780487804878,0.0023917264884955485,0.0,0.62,0.0018906340895869691,"Yours, Mine and Ours",8
1067,0.11842105263157894,0.011432926829268292,0.010270536783560037,0.020111597975688712,0.5599999999999999,0.012798138452588714,Kicking & Screaming,12
1069,0.0,0.013719512195121951,0.008174723419888459,0.0,0.43,0.005017452006980803,Fat Albert,8
1071,0.10526315789473684,0.11966463414634146,0.050389755637827376,0.04429560849805577,0.6599999999999999,0.07315299592786503,Blended,8
1072,0.11842105263157894,0.006859756097560976,0.007030774829071984,0.013773472694853729,0.64,0.008653286794648052,Last Holiday,1
1073,0.11842105263157894,0.011432926829268292,0.01411962079295423,0.0,0.61,0.015270506108202443,The River Wild,0
1074,0.11842105263157894,0.006859756097560976,0.012672625530760961,0.0,0.5900000000000001,0.009744037230948226,The Indian in the Cupboard,1
1075,0.11842105263157894,0.15625,0.03638335905310358,0.029758676816601038,0.62,0.05570098894706225,Savages,13
1076,0.06578947368421052,0.009908536585365854,0.027935667265074828,0.020237946042830055,0.61,0.03904886561954625,Cellular,0
1077,0.10526315789473684,0.011432926829268292,0.032011892944653494,0.05759864739654826,0.6,0.06195462478184991,Johnny English,1
1078,0.13157894736842105,0.15701219512195122,0.023114999011999232,0.01979261837147963,0.55,0.026614310645724257,The Ant Bully,2
1079,0.10526315789473684,0.15777439024390244,0.029553602677709064,0.011092567171735174,0.65,0.04086678301337987,Dune,0
1080,0.0,0.10518292682926829,0.013559952607713567,0.0,0.71,0.029813845258871437,Across the Universe,1
1081,0.09210526315789473,0.023628048780487805,0.02325375026137635,0.026982293770739747,0.67,0.0578824898196626,Revolutionary Road,5
1082,0.14473684210526316,0.10823170731707317,0.036901450288502904,0.02355292084043232,0.62,0.04806573589296102,16 Blocks,0
1083,0.18421052631578946,0.1364329268292683,0.031485590021819845,0.0258642435431617,0.54,0.0491564863292612,Babylon A.D.,0
1084,0.11842105263157894,0.0038109756097560975,0.007138437018136197,0.0,0.47000000000000003,0.007271669575334497,The Glimmer Man,0
1085,0.11842105263157894,0.0350609756097561,0.012700526994463408,0.0,0.55,0.011198371146015126,Multiplicity,8
1086,0.11842105263157894,0.013719512195121951,0.015654951655232063,0.020761040469944737,0.53,0.017742873763816173,Aliens in the Attic,1
1087,0.09210526315789473,0.08003048780487805,0.014271017355721179,0.010545325742093842,0.65,0.015634089586969168,The Pledge,13
1088,0.11842105263157894,0.15853658536585366,0.007770797481794108,0.013650936727099697,0.61,0.01098022105875509,The Producers,8
1089,0.11842105263157894,0.006859756097560976,0.010307707517807269,0.006205561569143136,0.47000000000000003,0.009889470622454915,The Phantom,1
1090,0.15,0.001524390243902439,0.00859391464508256,0.0,0.58,0.004363001745200698,All the Pretty Horses,5
1091,0.11578947368421053,0.08384146341463415,0.004305894813503355,0.004907437709244169,0.71,0.005162885398487493,Nixon,9
1092,0.11842105263157894,0.010670731707317074,0.02411905768134234,0.021600807800933555,0.67,0.04872018615474113,The Ghost Writer,6
1093,0.11842105263157894,0.08384146341463415,0.007439464459556956,0.0040183523288145106,0.6,0.011198371146015126,Deep Rising,1
1094,0.11842105263157894,0.15929878048780488,0.013005540359270235,0.00334431483503007,0.63,0.006544502617801047,Miracle at St. Anna,5
1095,2.894736842105263e-07,0.055640243902439025,0.011364455754340254,0.0,0.6599999999999999,0.014761489237929028,滿城盡帶黃金甲,0
1096,0.11842105263157894,0.022865853658536585,0.016917968571747887,0.015239570322495935,0.5,0.024141942990110528,Bangkok Dangerous,0
1097,0.10526315789473684,0.040396341463414635,0.0059408394974810475,0.003046627104337193,0.63,0.005817335660267597,Big Trouble,0
1098,0.11842105263157894,0.009908536585365854,0.006123587803190932,0.001652677797682909,0.64,0.0058900523560209425,Love in the Time of Cholera,5
1099,0.11842105263157894,0.08384146341463415,0.004395814504056822,0.0007728002083119342,0.4,0.0007998836532867946,Shadow Conspiracy,0
1100,0.11842105263157894,0.011432926829268292,0.040725515490534596,0.05741771543210147,0.6,0.07322571262361838,Johnny English Reborn,13
1104,0.10526315789473684,0.001524390243902439,0.03854333664650366,0.048781098670910295,0.55,0.062390924956369984,The Bounty Hunter,0
1105,0.11578947368421053,0.16158536585365854,0.018553466031347023,0.05940364381614654,0.73,0.051992437463641655,Sleepers,13
1107,0.11578947368421053,0.0350609756097561,0.004496843385663653,0.0,0.55,0.006471785922047702,The Juror,5
1109,0.11578947368421053,0.05945121951219512,0.00614463096605289,0.0012497756934787612,0.64,0.003999418266433973,Heaven's Gate,0
1111,0.10526315789473684,0.013719512195121951,0.028348181783072676,0.012276802948357724,0.5599999999999999,0.049810936591041306,Victor Frankenstein,5
1112,0.11315789473684211,0.10060975609756098,0.021749306307996145,0.028712613501963843,0.7,0.02196044211751018,Finding Forrester,5
1113,0.11315789473684211,0.001524390243902439,0.006188940957344903,0.0,0.6,0.015125072716695753,28 Days,8
1114,0.11842105263157894,0.07850609756097561,0.02969443026196179,0.018246682226117847,0.6599999999999999,0.037667248400232695,Unleashed,0
1115,0.11315789473684211,0.16310975609756098,0.021307353061861,0.02464046996869728,0.53,0.02036067481093659,The Sweetest Thing,12
1117,0.11578947368421053,0.011432926829268292,0.024845585299471416,0.017285260932681113,0.6799999999999999,0.041157649796393254,Charlie St. Cloud,5
1118,0.10526315789473684,0.1638719512195122,0.05036066410760106,0.018318309378456,0.63,0.07598894706224549,The Mechanic,0
1123,0.10526315789473684,0.006859756097560976,0.007332767343633496,0.02514378688846185,0.54,0.009744037230948226,Boomerang,8
1125,0.08188157894736842,0.013719512195121951,0.015126367961910744,0.02546660298260758,0.67,0.010616637579988365,Cleopatra,5
1126,0.0,0.001524390243902439,0.030608137527559476,0.02621990222935672,0.6,0.043121000581733564,Here Comes the Boom,8
1127,0.11052631578947368,0.013719512195121951,0.01604271918528457,0.022877549757494505,0.61,0.013379872018615475,High Crimes,5
1128,0.11052631578947368,0.039634146341463415,0.004391283799738049,0.0,0.65,0.0034176847004072134,The Mirror Has Two Faces,8
1129,0.08421052631578947,0.09603658536585366,0.016827121497300583,0.01978415700296752,0.61,0.022178592204770215,The Mothman Prophecies,5
1130,0.11052631578947368,0.011432926829268292,0.018413102139041213,0.0,0.54,0.037667248400232695,Brüno,8
1131,0.08421052631578947,0.005335365853658537,0.03223137570302509,0.05601469535188623,0.5900000000000001,0.03933973240255963,Licence to Kill,1
1132,0.11052631578947368,0.16539634146341464,0.05156763482975461,0.031981089869365355,0.5599999999999999,0.06704479348458406,Red Riding Hood,2
1133,0.15789473684210525,0.009908536585365854,0.01736602976008036,0.020215454010812726,0.5700000000000001,0.013888888888888888,15 Minutes,0
1134,0.12631578947368421,0.08384146341463415,0.01666020838578777,0.00750205413171302,0.4,0.01687027341477603,Super Mario Bros.,1
1137,0.10526315789473684,0.09603658536585366,0.022200683007958924,0.013233207679691435,0.53,0.02821407795229785,One for the Money,0
1139,0.11052631578947368,0.16692073170731708,0.008393848701463537,0.003976939686834751,0.63,0.009889470622454915,The Warrior's Way,1
1140,0.0868421052631579,0.1676829268292683,0.008752488154141208,0.005021583686711354,0.6799999999999999,0.010762070971495055,Micmacs à tire-larigot,0
1142,0.0,0.07926829268292683,0.006617850297751617,0.0,0.53,0.009089586969168121,Pourquoi j'ai pas mangé mon père,1
1143,0.17105263157894737,0.0350609756097561,0.041881203710716505,0.04214094127212433,0.6599999999999999,0.06595404304828388,A Knight's Tale,1
1144,0.10789473684210527,0.16844512195121952,0.016735987756157037,0.0,0.53,0.020433391506689935,The Medallion,6
1146,0.11052631578947368,0.03125,0.03887863617645422,0.016578826333057305,0.62,0.06726294357184409,Man on a Ledge,0
1147,0.10789473684210527,0.018292682926829267,0.01075825391223948,0.0026716206148818247,0.5599999999999999,0.018033740546829553,The Big Year,8
1148,0.021052631578947368,0.0350609756097561,0.03250020510659487,0.03257413746802777,0.6900000000000001,0.06479057591623037,The Karate Kid,5
1156,0.10526315789473684,0.03353658536585366,0.028803498722485856,0.054615464056562625,0.7,0.03701279813845259,A Time to Kill,13
1159,0.10526315789473684,0.0350609756097561,0.024739025235354928,0.038543805839273054,0.67,0.02574171029668412,A League of Their Own,8
1164,0.10526315789473684,0.16310975609756098,0.028543388098036193,0.05804745430802448,0.5700000000000001,0.0535194880744619,Scream 3,15
1166,0.10526315789473684,0.16920731707317074,0.041459544410898545,0.04010504059802095,0.5900000000000001,0.06864456079115765,Get Hard,8
1168,0.10526315789473684,0.001524390243902439,0.026100381391765782,0.046464175467632034,0.6599999999999999,0.04072134962187318,Julie & Julia,12
1169,0.10526315789473684,0.0038109756097560975,0.03641530354511167,0.034082282250617005,0.6799999999999999,0.05722803955788249,42,5
1170,0.10526315789473684,0.006859756097560976,0.035845051534077695,0.04619794760005185,0.7,0.05577370564281559,The Talented Mr. Ripley,6
1172,0.10526315789473684,0.0007621951219512195,0.027738493114582888,0.04320570388835719,0.67,0.03941244909831297,Eight Below,1
1174,0.10526315789473684,0.011432926829268292,0.028707878818860798,0.04477362954868308,0.61,0.04035776614310646,Ride Along 2,0
1175,0.10526315789473684,0.08460365853658537,0.04314455526206101,0.02708278391005547,0.71,0.053228621291448515,The Last of the Mohicans,0
1176,0.10526315789473684,0.011432926829268292,0.02483301193828025,0.044739274025205895,0.72,0.0339586969168121,Ray,5
1178,0.10526315789473684,0.001524390243902439,0.028395726197009197,0.054219291233183226,0.62,0.052065154159395,Vantage Point,5
1179,0.10789473684210527,0.1714939024390244,0.029000047003059297,0.03286877099978548,0.65,0.03744909831297266,"I Love You, Man",8
1180,0.10526315789473684,0.013719512195121951,0.03409708821958002,0.050599579118761034,0.5700000000000001,0.05315590459569517,Shallow Hal,8
1182,0.10526315789473684,0.013719512195121951,0.020115687600250898,0.049591389305658116,0.54,0.026977894124490982,Big Momma's House 2,8
1183,0.15,0.023628048780487805,0.02400897424368831,0.05302972899100727,0.58,0.03206806282722513,The Mexican,0
1188,0.10526315789473684,0.013719512195121951,0.027425192683847903,0.03291045588333797,0.6,0.03323152995927865,Behind Enemy Lines,0
1189,0.10526315789473684,0.011432926829268292,0.020408662105913737,0.03229224656355964,0.5900000000000001,0.04450261780104712,Get Him to the Greek,8
1191,0.10526315789473684,0.011432926829268292,0.026369419799341196,0.019613784711644777,0.62,0.03715823152995928,Small Soldiers,8
1192,0.10526315789473684,0.009908536585365854,0.022651995750411776,0.0315068658533743,0.5,0.02443280977312391,Spawn,0
